Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
4.06,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
4.07,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
4.08,0,-2.56131,9.42931,43.5059,43.7183,-15.8422
4.09,0,-2.56131,9.42931,43.5059,43.7183,-15.8422
4.1,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
4.11,0,-2.7546,9.42931,43.5059,43.7183,-15.8422
4.12,0,-2.7546,9.42931,43.5059,43.7183,-15.8422
4.13,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
4.14,0,-2.7546,9.42931,43.5059,43.7183,-15.8422
4.15,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
4.16,0,-2.56131,9.42931,43.5059,43.7183,-15.8422
4.17,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
4.18,0,-2.56131,9.42931,43.5059,43.7183,-15.8422
4.19,0,-2.56131,9.42931,43.5059,44.0725,-15.8422
